85:0.5, F4, NaN, NaN, NaN
85:1.0, F4, NaN, NaN, NaN
85:1.0078120000000013, NaN, G3, NaN, NaN
85:1.5, E4, NaN, NaN, NaN
85:2.0, E4, NaN, NaN, NaN
85:2.0078120000000013, NaN, Rest, NaN, NaN
85:2.5, A4, NaN, NaN, NaN
86:0.0, A4, NaN, NaN, Rest
86:0.007812000000001262, NaN, Rest, A-3, NaN
86:0.5, G4, NaN, NaN, NaN
86:1.0, G4, NaN, NaN, NaN
86:1.5, C5, NaN, NaN, NaN
86:2.0, C5, NaN, NaN, NaN
86:2.5, B4, NaN, NaN, NaN
87:0.0, B4, NaN, NaN, Rest
87:0.007812000000001262, NaN, Rest, F#3, NaN
87:0.5, F5, NaN, NaN, NaN
87:1.0, F5, NaN, NaN, NaN
87:1.0078120000000013, NaN, Rest, NaN, NaN
87:2.0, Rest, NaN, NaN, NaN
87:2.0078120000000013, NaN, E4, F3, NaN
87:2.2578120000000013, NaN, C5, NaN, NaN
87:2.5078120000000013, NaN, B4, NaN, NaN
87:2.7578120000000013, NaN, A4, NaN, NaN
88:0.0, Rest, NaN, NaN, Rest
88:0.0039059999999722095, E5, NaN, NaN, C4
88:0.007812000000001262, NaN, G4, E3, NaN
88:0.25781200000000126, NaN, F4, NaN, NaN
88:0.5078120000000013, NaN, E4, NaN, NaN
88:0.7578120000000013, NaN, D4, NaN, NaN
88:1.0078120000000013, NaN, C4, A3, NaN
88:1.2578120000000013, NaN, B3, NaN, NaN
88:1.5039059999999722, F5, NaN, NaN, NaN
88:1.5078120000000013, NaN, C4, NaN, NaN
88:1.7539059999999722, E5, NaN, NaN, NaN
88:1.7578120000000013, NaN, B3, NaN, NaN
88:2.003905999999972, D5, NaN, NaN, NaN
88:2.0078120000000013, NaN, C4, F3, NaN
88:2.2578120000000013, NaN, B3, NaN, NaN
88:2.503905999999972, E5, NaN, NaN, NaN
